Date,open,high,low
2016/1/4,18.28,18.28,17.55
2016/1/5,17.51,18.06,17.4
2016/1/6,17.9,18.14,17.69
2016/1/7,17.8,17.9,17.4
2016/1/8,17.74,17.88,16.91
2016/1/11,17.21,17.45,16.96
2016/1/12,17.17,17.52,17.08
2016/1/13,17.57,17.9,17.35
2016/1/14,17,17.99,16.89
2016/1/15,17.8,18.15,17.52
2016/1/18,17.43,17.99,17.32
2016/1/19,17.78,17.88,17.5
2016/1/20,17.61,17.7,17.08
2016/1/21,17.22,17.46,16.5
2016/1/22,16.84,17.11,16.49
2016/1/25,17,17.17,16.72
2016/1/26,16.96,17.14,16.4
2016/1/27,16.75,16.98,16.51
2016/1/28,16.76,16.82,15.88
2016/1/29,16.52,17.05,16.41
2016/2/1,16.99,17,16.41
2016/2/2,16.5,16.94,16.46
2016/2/3,16.6,16.66,16.45
2016/2/4,16.84,17.32,16.63
2016/2/5,17.24,18.39,17.15
2016/2/15,17.98,18.48,17.8
2016/2/16,18.45,18.45,18.45
2016/2/17,18.45,18.45,18.45
2016/2/18,18.45,18.45,18.45
2016/2/19,18.45,18.45,18.45
2016/2/22,18.45,18.45,18.45
2016/2/23,18.45,18.45,18.45
2016/2/24,18.45,18.45,18.45
2016/2/25,18.45,18.45,18.45
2016/2/26,18.45,18.45,18.45
2016/2/29,18.45,18.45,18.45
2016/3/1,18.45,18.45,18.45
2016/3/2,18.45,18.45,18.45
2016/3/3,18.45,18.45,18.45
2016/3/4,18.45,18.45,18.45
2016/3/7,18.45,18.45,18.45
2016/3/8,18.45,18.45,18.45
2016/3/9,18.45,18.45,18.45
2016/3/10,18.45,18.45,18.45
2016/3/11,17.51,17.53,16.61
2016/3/14,16.88,17.47,16.82
2016/3/15,16.95,17.19,16.81
2016/3/16,16.92,18.07,16.91
2016/3/17,17.81,18.19,17.45
2016/3/18,17.79,18,17.65
2016/3/21,17.78,18.25,17.78
2016/3/22,18.09,18.63,18.02
2016/3/23,18.16,18.35,18.06
2016/3/24,18.11,18.11,17.68
2016/3/25,17.72,17.87,17.68
2016/3/28,17.78,18,17.37
2016/3/29,17.53,17.66,17.37
2016/3/30,17.65,17.95,17.65
2016/3/31,17.98,18.08,17.72
2016/4/1,17.98,18.25,17.61
2016/4/5,17.94,18.29,17.76
2016/4/6,18.03,18.14,17.87
2016/4/7,17.95,18,17.63
2016/4/8,17.56,17.76,17.53
2016/4/11,17.6,17.82,17.55
2016/4/12,17.69,17.7,17.53
2016/4/13,17.73,17.99,17.69
2016/4/14,17.9,18.01,17.75
2016/4/15,17.95,18.06,17.8
2016/4/18,17.75,18.03,17.66
2016/4/19,17.95,17.98,17.78
2016/4/20,17.89,17.99,17.31
2016/4/21,17.82,18.35,17.75
2016/4/22,18,18.36,17.94
2016/4/25,18.15,18.16,17.82
2016/4/26,17.87,18.08,17.75
2016/4/27,17.97,17.97,17.8
2016/4/28,17.93,18.1,17.83
2016/4/29,17.83,17.94,17.75
2016/5/3,17.95,18.24,17.83
2016/5/4,18.06,18.23,18.02
2016/5/5,18.06,18.12,17.98
2016/5/6,18.07,18.1,17.71
2016/5/9,17.71,17.8,17.4
2016/5/10,17.38,17.56,17.38
2016/5/11,17.55,17.57,17.4
2016/5/12,17.43,17.5,17.2
2016/5/13,17.37,17.46,17.22
2016/5/16,17.23,17.35,17.21
2016/5/17,17.29,17.34,17.16
2016/5/18,17.25,17.62,17.02
2016/5/19,17.44,17.49,17.33
2016/5/20,17.31,17.5,17.27
2016/5/23,17.5,17.68,17.44
2016/5/24,17.48,17.6,17.43
2016/5/25,17.68,17.73,17.6
2016/5/26,17.65,17.86,17.65
2016/5/27,17.69,17.77,17.63
2016/5/30,17.84,17.97,17.68
2016/5/31,17.93,18.4,17.92
2016/6/1,18.3,18.35,18.13
2016/6/2,18.2,18.3,17.93
2016/6/3,18.12,18.13,17.9
2016/6/6,18.05,18.11,17.97
2016/6/7,18.1,18.13,17.97
2016/6/8,18.01,18.07,17.97
2016/6/13,17.86,17.94,17.77
2016/6/14,17.77,17.83,17.7
2016/6/15,17.61,17.76,17.55
2016/6/16,17.67,17.93,17.6
2016/6/17,17.75,17.99,17.74
2016/6/20,17.93,17.93,17.75
2016/6/21,17.88,17.95,17.75
2016/6/22,17.8,17.9,17.78
2016/6/23,15.9,15.9,15.71
2016/6/24,15.7,15.79,15.08
2016/6/27,15.29,15.39,15.18
2016/6/28,15.27,15.3,15.18
2016/6/29,15.29,15.54,15.28
2016/6/30,15.5,15.66,15.44
2016/7/1,15.57,15.96,15.54
2016/7/4,15.86,16.03,15.8
2016/7/5,15.94,15.95,15.75
2016/7/6,15.71,15.76,15.61
2016/7/7,15.63,15.64,15.45
2016/7/8,15.55,15.56,15.44
2016/7/11,15.56,15.57,15.4
2016/7/12,15.48,15.65,15.45
2016/7/13,15.65,15.97,15.64
2016/7/14,15.77,15.84,15.64
2016/7/15,15.71,15.75,15.65
2016/7/18,15.73,15.91,15.66
2016/7/19,15.77,15.8,15.65
2016/7/20,15.7,15.76,15.63
2016/7/21,15.74,15.87,15.7
2016/7/22,15.81,15.82,15.58
2016/7/25,15.63,15.76,15.63
2016/7/26,15.69,15.79,15.65
2016/7/27,15.73,15.88,15.45
2016/7/28,15.77,15.79,15.65
2016/7/29,15.65,15.71,15.61
2016/8/1,15.68,15.85,15.65
2016/8/2,15.79,15.85,15.68
2016/8/3,15.64,15.72,15.62
2016/8/4,15.69,15.69,15.49
2016/8/5,15.6,15.8,15.59
2016/8/8,15.76,15.76,15.66
2016/8/9,15.75,15.8,15.71
2016/8/10,15.8,15.85,15.73
2016/8/11,15.75,16.4,15.74
2016/8/12,16.12,16.39,16
2016/8/15,16.5,17.02,16.45
2016/8/16,16.94,16.99,16.67
2016/8/17,16.72,16.85,16.52
2016/8/18,16.55,16.77,16.35
2016/8/19,16.43,16.5,16.36
2016/8/22,16.42,16.47,16.31
2016/8/23,16.41,16.56,16.32
2016/8/24,16.41,16.51,16.34
2016/8/25,16.36,16.41,16.2
2016/8/26,16.36,16.4,16.29
2016/8/29,16.31,16.37,16.08
2016/8/30,16.24,16.49,16.24
2016/8/31,16.35,16.56,16.32
2016/9/1,16.48,16.55,16.38
2016/9/2,16.38,16.5,16.35
2016/9/5,16.49,16.58,16.42
2016/9/6,16.49,16.53,16.37
2016/9/7,16.41,16.5,16.35
2016/9/8,16.47,16.61,16.43
2016/9/9,16.62,16.66,16.5
2016/9/12,16.38,16.47,16.26
2016/9/13,16.4,16.46,16.39
2016/9/14,16.43,16.48,16.38
2016/9/19,16.45,16.51,16.42
2016/9/20,16.47,16.48,16.42
2016/9/21,16.47,16.51,16.43
2016/9/22,16.49,16.59,16.47
2016/9/23,16.55,16.55,16.48
2016/9/26,16.45,16.57,16.41
2016/9/27,16.42,16.52,16.42
2016/9/28,16.48,16.53,16.46
2016/9/29,16.52,16.55,16.49
2016/9/30,16.5,16.53,16.48
2016/10/10,16.53,16.6,16.48
2016/10/11,16.57,16.58,16.5
2016/10/12,16.54,16.54,16.48
2016/10/13,16.51,16.52,16.42
2016/10/14,16.43,16.47,16.38
2016/10/17,16.41,16.44,16.22
2016/10/18,16.28,16.39,16.24
2016/10/19,16.35,16.39,16.24
2016/10/20,16.27,16.34,16.25
2016/10/21,16.29,16.34,16.22
2016/10/24,16.3,16.58,16.27
2016/10/25,16.48,16.5,16.36
2016/10/26,16.4,16.42,16.3
2016/10/27,16.3,16.31,16.18
2016/10/28,16.19,16.34,16.18
2016/10/31,16.23,16.31,16.01
2016/11/1,16.26,16.33,16.21
2016/11/2,16.21,16.3,16.18
2016/11/3,16.19,16.38,16.19
2016/11/4,16.3,16.53,16.29
2016/11/7,16.39,16.45,16.38
2016/11/8,16.45,16.54,16.44
